run,best
1,3.746e-07
1,3.746e-07
1,2.97716e-07
1,2.97716e-07
1,2.97716e-07
1,2.97716e-07
1,1.63174e-07
1,7.91108e-08
1,7.91108e-08
1,7.91108e-08
1,7.91108e-08
1,7.91108e-08
1,7.8912e-08
1,7.8912e-08
1,7.8912e-08
1,7.53677e-08
1,4.79697e-08
1,4.79697e-08
1,4.79697e-08
1,3.57218e-08
1,3.57218e-08
1,3.57218e-08
1,3.57218e-08
1,1.78315e-08
1,1.78315e-08
1,1.48848e-08
1,1.93876e-09
1,1.93876e-09
1,1.43237e-09
1,1.43237e-09
1,1.43237e-09
1,1.43237e-09
1,1.31042e-09
1,9.0183e-10
1,8.30745e-10
1,8.30745e-10
1,8.30745e-10
1,8.30745e-10
1,7.91491e-10
1,7.91491e-10
1,1.46481e-10
1,1.46481e-10
1,1.46481e-10
1,1.46481e-10
1,1.46481e-10
1,1.46481e-10
1,1.46481e-10
1,1.46481e-10
1,1.46481e-10
1,1.46481e-10
1,1.15087e-10
1,1.15087e-10
1,8.21704e-11
1,8.21704e-11
1,8.21704e-11
1,8.21704e-11
1,4.64949e-11
1,4.61141e-11
1,4.61141e-11
1,4.61141e-11
1,9.73391e-12
1,9.73391e-12
1,9.73391e-12
1,4.37967e-12
1,4.37967e-12
1,4.37967e-12
1,1.43586e-12
1,1.43586e-12
1,1.43586e-12
1,1.43586e-12
1,1.43586e-12
1,1.43586e-12
1,5.53454e-13
1,5.53454e-13
1,5.53454e-13
1,5.53454e-13
1,4.06047e-13
1,3.1563e-13
1,3.1563e-13
1,5.58947e-14
1,5.58947e-14
1,5.58947e-14
1,5.58947e-14
1,3.66982e-14
1,3.66982e-14
1,3.66982e-14
1,3.66982e-14
1,3.66982e-14
1,1.30741e-14
1,1.30741e-14
1,1.30741e-14
1,6.07141e-15
1,6.07141e-15
1,6.07141e-15
1,5.40024e-15
1,5.40024e-15
1,2.64828e-15
1,2.64828e-15
1,2.64828e-15
1,2.64828e-15
1,1.82149e-15
1,1.82149e-15
1,1.1267e-15
1,9.6566e-16
1,6.71294e-16
1,6.71294e-16
1,6.71294e-16
1,6.71294e-16
1,6.71294e-16
1,6.71294e-16
1,6.71294e-16
1,6.71294e-16
1,5.12361e-16
1,5.12361e-16
1,2.26746e-16
1,2.26746e-16
1,2.26746e-16
1,2.26746e-16
1,2.26746e-16
1,8.73572e-17
1,8.73572e-17
1,4.67625e-17
1,4.51801e-17
1,4.51801e-17
1,4.51801e-17
1,4.1121e-17
1,4.01906e-17
1,4.01906e-17
1,3.76125e-17
1,8.64729e-18
1,8.64729e-18
1,8.64729e-18
1,8.64729e-18
1,8.83573e-19
1,8.83573e-19
1,8.83573e-19
1,8.83573e-19
1,7.65811e-19
1,7.65811e-19
1,7.65811e-19
1,7.65811e-19
1,7.65811e-19
1,7.34887e-19
1,5.08474e-19
1,3.4017e-19
1,3.30567e-19
1,3.30567e-19
1,3.30567e-19
1,2.77358e-19
1,2.68013e-19
1,1.03255e-19
1,1.03255e-19
